,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,id,Venue Latitude,Venue Longitude,Venue Category
0,Marble Hill,40.87655077879964,-73.91065965862981,Arturo's,4b4429abf964a52037f225e3,40.87441177110231,-73.91027100981574,Pizza Place
1,Marble Hill,40.87655077879964,-73.91065965862981,Bikram Yoga,4baf59e8f964a520a6f93be3,40.876843690797934,-73.90620384419528,Yoga Studio
2,Marble Hill,40.87655077879964,-73.91065965862981,Tibbett Diner,4b79cc46f964a520c5122fe3,40.8804044222466,-73.90893738006402,Diner
3,Marble Hill,40.87655077879964,-73.91065965862981,Dunkin',4b5357adf964a520319827e3,40.87713584201589,-73.90666550701411,Donut Shop
4,Marble Hill,40.87655077879964,-73.91065965862981,Starbucks,55f81cd2498ee903149fcc64,40.87753134921497,-73.90558216359267,Coffee Shop
5,Marble Hill,40.87655077879964,-73.91065965862981,Astral Fitness & Wellness Center,4cf6ae55d3a8a1cd71a9d243,40.87670526507199,-73.90637207670373,Gym
6,Marble Hill,40.87655077879964,-73.91065965862981,Blink Fitness,55f751ca498eacc0307d1cfe,40.877271495944626,-73.90559491338075,Gym
7,Marble Hill,40.87655077879964,-73.91065965862981,T.J. Maxx,546d31ca498e561c698a0320,40.87723198343352,-73.90504239962168,Department Store
8,Marble Hill,40.87655077879964,-73.91065965862981,Land & Sea Restaurant,4b9c9c6af964a520b27236e3,40.87788463309788,-73.90587282193539,Seafood Restaurant
9,Marble Hill,40.87655077879964,-73.91065965862981,TCR The Club of Riverdale,4a725fa1f964a520f6da1fe3,40.8786283,-73.9145678,Tennis Stadium
10,Marble Hill,40.87655077879964,-73.91065965862981,Rite Aid,4b88e053f964a5208a1132e3,40.875466574434704,-73.90890629016033,Pharmacy
11,Marble Hill,40.87655077879964,-73.91065965862981,Starbucks,57655be738faa66160da7527,40.873754554218515,-73.90861305343668,Coffee Shop
12,Marble Hill,40.87655077879964,-73.91065965862981,Lot Less Closeouts,4b9c9c43f964a520ac7236e3,40.878270422202085,-73.9052646742604,Discount Store
13,Marble Hill,40.87655077879964,-73.91065965862981,Vitamin Shoppe,5631194e498e2de074de661c,40.87716,-73.905632,Supplement Shop
14,Marble Hill,40.87655077879964,-73.91065965862981,Baskin-Robbins,4e4e4517bd4101d0d7a67568,40.87714929478882,-73.90665810372622,Ice Cream Shop
15,Marble Hill,40.87655077879964,-73.91065965862981,Subway Sandwiches,4b4f7b65f964a5205a0827e3,40.8746665302951,-73.9095858429637,Sandwich Place
16,Marble Hill,40.87655077879964,-73.91065965862981,Five Below,56229ff8498e2abb44b6f12b,40.8772564,-73.9049384,Miscellaneous Shop
17,Marble Hill,40.87655077879964,-73.91065965862981,Boston Market,585c205665e7c70a2f1055ea,40.87743,-73.9054121,American Restaurant
18,Marble Hill,40.87655077879964,-73.91065965862981,SUBWAY,4e4ce4debd413c4cc66d05d0,40.878464979323944,-73.9055176422437,Sandwich Place
19,Marble Hill,40.87655077879964,-73.91065965862981,TD Bank,4ec68016cc21b428e1d2060a,40.8794958,-73.9092856,Bank
20,Marble Hill,40.87655077879964,-73.91065965862981,Parrilla Latina,4dfe40df8877333e195b68fc,40.87747294351472,-73.90607346968568,Steakhouse
21,Marble Hill,40.87655077879964,-73.91065965862981,The Children's Place,4c852173dc018cfa2bc3e56c,40.873671591133125,-73.90815619608166,Kids Store
22,Marble Hill,40.87655077879964,-73.91065965862981,Broadway Plaza,53319bb511d2ef06787f02b4,40.87753906779665,-73.90539578168178,Shopping Mall
23,Marble Hill,40.87655077879964,-73.91065965862981,Subway,4d0a529133d6b60cf4cf9985,40.877720351115315,-73.90537973066263,Sandwich Place
24,Marble Hill,40.87655077879964,-73.91065965862981,Terrace View Delicatessen,4ed7956b8b81b2bf28adc714,40.875995,-73.913151,Deli / Bodega
25,Marble Hill,40.87655077879964,-73.91065965862981,Grill 26 at TCR,5012c967e889cf0567e9e2d4,40.878802209517126,-73.9156723022461,American Restaurant
26,Chinatown,40.71561842231432,-73.99427936255978,Cheeky Sandwiches,4b1896caf964a52069d423e3,40.715821,-73.99183,Sandwich Place
27,Chinatown,40.71561842231432,-73.99427936255978,Hotel 50 Bowery NYC,578692f4498e1054905dbde7,40.7159364,-73.9967894,Hotel
28,Chinatown,40.71561842231432,-73.99427936255978,Da Yu Hot Pot 大渝火锅,5d992946dbf3ca0008d05211,40.716735,-73.995752,Hotpot Restaurant
29,Chinatown,40.71561842231432,-73.99427936255978,Kiki's,5521c2ff498ebe2368634187,40.714476082876864,-73.99203609673215,Greek Restaurant
30,Chinatown,40.71561842231432,-73.99427936255978,Bar Belly,503fffabe4b05e5c0eace385,40.71513492837161,-73.99180174375184,Cocktail Bar
